,Usuario,Tweet
146,Anyulina63,"RT @Ojo_Kritico: ⚡️López Murphy indignado con Larreta, le pide q deje de financiar a los corsos y murgas porq “Son usados para bajar línea…"
147,Krisargentia,"RT @BirmajerOk: Domingo pasado, en avenida Corrientes, en medio de un corso misérrimo, escucho a una murga llamando a votar a CFK y flagela…"
148,mabpro_o,RT @peponila: En el año 2018 @horaciorlarretadijo 👇👇👇Larreta asegura que la policía porteña no usará pistolas eléctricas https://t.co/F1M…
149,Chiquitadedios1,"RT @Ojo_Kritico: ⚡️López Murphy indignado con Larreta, le pide q deje de financiar a los corsos y murgas porq “Son usados para bajar línea…"
150,Picchio_Fede,"Larreta con Cristina baja un 2,2% y Milei un 1,6%.El pelado reptiliano termino teniendo más votantes kirchneristas… https://t.co/wizxscBBT1"
151,juansinhielo,RT @ResnicoffMartin: ¿Qué es republicanos Unidos?Es una estafa organizada por Yamil San Tongo y Larreta.Funciona así: López Murphy putea…
152,Samurai_Rojo,"RT @Ojo_Kritico: ⚡️López Murphy indignado con Larreta, le pide q deje de financiar a los corsos y murgas porq “Son usados para bajar línea…"
153,EcosDelMasAca,@GracielaVidart @KarlosRovira @delatorrej @FelipeMiguelBA Las Taser no están por decisión pura y exclusiva de Larre… https://t.co/oGUEYeQsqK
154,elkuki82,"RT @Ojo_Kritico: ⚡️López Murphy indignado con Larreta, le pide q deje de financiar a los corsos y murgas porq “Son usados para bajar línea…"
155,JuanaSusa1,RT @fabioferrer: Autopista de bicicletas Horacio Rodríguez Larreta (@horaciorlarreta). Le sacaron 3 carriles a Libertador para una bicisend…
156,Asperogio,RT @intisumaj2: El impresentable de Ricardo López Murphy llora por el gasto en Corsos de la Ciudad. Pero no lo vi decir nada por los más de…
157,MacaAfri,@MaryBon06354325 Larreta NO fue peronistaFue desarrollista
158,Picchio_Fede,"@JoyeroUkraniano Estás pasando vergüenza, Larreta compitiendo con Cristina baja 2,2% y Milei baja 1,6%.Siguiendo t… https://t.co/TwibQFidlK"
159,jalfnicolini,RT @aetchebarne: Si Larreta hace campaña a presidente diciendo que va a poner “austeridad por todos lados”. Tendría que empezar por CABA do…
160,MaryBon06354325,"@MacaAfri Hace 20 años no existía el PRO. Y hay que reconocer que son todos de extracción peronista. Desde Macri, L… https://t.co/tI4ENWck5s"
161,GiovanonniJose,RT @fabioferrer: Autopista de bicicletas Horacio Rodríguez Larreta (@horaciorlarreta). Le sacaron 3 carriles a Libertador para una bicisend…
162,Ell_Duck_ar,@edufei0K Macri sin dudarlo Bullrich sin dudarlo Larreta uhmmm me entró la duda
163,CatalinaPasini,@eduardosacheri La vi anoche con mi mamá y nos pareció pésima pero muy graciosa (y algo que podría hacer Larreta en la ciudad)
164,AlejavierLucero,@AnaDeBsAs3 Y lo peor es que están faltando a la verdad.https://t.co/zvBOXMucOH
165,maxi_10359,RT @RAMIROMARRA: Los feriados de carnaval son un exceso al ocio inventandos por los kirchneristas  y complementados por Larreta financiando…
166,Silsh,Alquileres temporarios---&gt; alquiler para pocos sin control estatal -El acuerdo secreto entre el Gobierno porteño y… https://t.co/PkVny1BC4y
167,mabpro_o,@frigeriorogelio @horaciorlarreta Reciben payasos inútiles!!! La ciudad se prende fuego y el Larreta juega al candi… https://t.co/ZQfZ4d6yJ9
168,crysquijano2015,RT @MartinSoria_: La jueza Capuchetti está contratada por el Gobierno de Larreta desde 2019 en el órgano encargado de asesorar a la conducc…
169,NoemiLlaness,Cuatro años desaparecido y Larreta juega al carnaval https://t.co/buEGO2LNcG
170,Pablozabala15,@slospennato @mauriciomacri @horaciorlarreta Vos decís que los valores de Larreta son innegociables? O vos tmb está… https://t.co/0mdrn2mle5
171,muchiarg,"@dolomas Macri le dejó a Larreta una linda CABA. Le dejó fondos, equipo, un plan. Una forma de gobierno. Querer des… https://t.co/QaYiEhBGOA"
172,PaolettaPS,RT @fabioferrer: Autopista de bicicletas Horacio Rodríguez Larreta (@horaciorlarreta). Le sacaron 3 carriles a Libertador para una bicisend…
173,MadreTi51299805,"RT @SuricataMancebo: Y lo pagamos nosotros, Larreta no cuentes con mi voto"
174,Jonatan96822854,RT @GFrondizi: Abro hilo....Siempre me nutro de la historia para comprender el presente ...con analogías y con coincidencias y trasladando…
175,MrHublot53,RT @caidodelcatre2: Dicen que Larreta suspendió los corsos de Saavedra y Lugano por no poder brindar seguridad; yo creo que los suspendió p…
176,maychiss,@frigeriorogelio @horaciorlarreta Siguen boludeandonos.  Larreta no sera presidente
