long,lat,id,tipo,calle_auto,altura,km,velocidad,direccion_,calle_norm,intersec_1,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.47665132,-34.58303556,24,CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA,Av. Los Incas y Gamarra,0,,0,DE LOS INCAS AV. y GAMARRA,DE LOS INCAS AV.,GAMARRA,PARQUE CHAS,15,,
-58.40042632,-34.6235575,25,CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA,Av. San Juan esquina Alberti,0,,0,SAN JUAN AV. y ALBERTI,SAN JUAN AV.,ALBERTI,SAN CRISTOBAL,3,,
-58.38149146,-34.59535799,26,DETECCION DE VIOLACION DE LUZ ROJA,Av. Santa Fe y C.  Pellegrini,983,,0,"SANTA FE AV. y PELLEGRINI, CARLOS",SANTA FE AV.,"PELLEGRINI, CARLOS",RETIRO,1,,
-58.423371,-34.59774159,27,DETECCION DE VIOLACION DE LUZ ROJA,Av. Córdoba y Gascon,0,,0,CORDOBA AV. y GASCON,CORDOBA AV.,GASCON,PALERMO,14,,
-58.4780827,-34.59112084,28,DETECCION DE VIOLACION DE LUZ ROJA,Av. De los Constituyentes y Barzana,3100,,0,DE LOS CONSTITUYENTES AV. y BARZANA,DE LOS CONSTITUYENTES AV.,BARZANA,PARQUE CHAS,15,,
-58.3828426,-34.58822345,29,DETECCION DE VIOLACION DE LUZ ROJA,Av. Del Libertador y Libertad,0,,0,DEL LIBERTADOR AV. y LIBERTAD,DEL LIBERTADOR AV.,LIBERTAD,RETIRO,1,,
-58.38143355,-34.62215736,30,DETECCION DE VIOLACION DE LUZ ROJA,Av. San Juan y Lima,0,,0,SAN JUAN AV. y LIMA,SAN JUAN AV.,LIMA,CONSTITUCION,1,,
-58.42653502,-34.57816529,31,DETECCION DE VIOLACION DE LUZ ROJA,Av. Juan B. Justo y Av. Bullrich,0,,0,"JUSTO, JUAN B. AV. y BULLRICH AV.","JUSTO, JUAN B. AV.",BULLRICH AV.,PALERMO,14,,
-58.44435407,-34.62172396,32,DETECCION DE VIOLACION DE LUZ ROJA,Av. Rivadavia y Garcia Lorca,0,,0,"RIVADAVIA AV. y GARCIA LORCA, FEDERICO",RIVADAVIA AV.,"GARCIA LORCA, FEDERICO",CABALLITO,6,,
-58.45315,-34.56563,33,DETECCION DE VIOLACION DE LUZ ROJA,AV. CABILDO Y JOSE HERNANDEZ,0,,0,CABILDO AV. Y JOSE HERNANDEZ,AV CABILDO,JOSE HERNANDEZ,BELGRANO,13,,
-58.46814,-34.54888,34,DETECCION DE VIOLACION DE LUZ ROJA,AV. CABILDO Y CRISOLOGO LARRALDE,0,,0,AV. CABILDO Y CRISOLOGO LARRALDE,AV CABILDO,CRISOLOGO LARRALDE,BELGRANO,13,,
-58.45997,-34.55829,35,DETECCION DE VIOLACION DE LUZ ROJA,AV. CABILDO Y MONROE,0,,0,AV. CABILDO Y MONROE,AV CABILDO,MONROE,BELGRANO,13,,
-58.49428,-34.59501,36,DETECCION DE VIOLACION DE LUZ ROJA,AV. FRANCISCO BEIRO Y AV. NAZCA,0,,0,AV. FRANCISCO BEIRO Y AV. NAZCA,"BEIRO, FRANCISCO",NAZCA AV.,AGRONOMIA,15,,
-58.40149,-34.58202,37,DETECCION DE VIOLACION DE LUZ ROJA,Av. Del Libertador y Sanchez de Bustamante,0,,0,DEL LIBERTADOR AV.  Y SANCHEZ DE BUSTAMANTE,DEL LIBERTADOR AV.,SANCHEZ DE BUSTAMANTE,PALERMO,14,,
-58.37393,-34.59367,38,DETECCION DE VIOLACION DE LUZ ROJA,Av. Del Libertador y Ramos Mejía,0,,0,DEL LIBERTADOR AV.  Y RAMOS MEJIA,DEL LIBERTADOR AV.,RAMOS MEJIA,RETIRO,1,,
-58.46783,-34.61134,39,DETECCION DE VIOLACION DE LUZ ROJA,Av. Juan B. Justo y Boyaca,0,,0,JUAN B. JUSTO AV. Y BOYACA,JUAN B. JUSTO AV.,BOYACA,ViILLA GRAL. MITRE,11,,
-58.45946,-34.61388,40,DETECCION DE VIOLACION DE LUZ ROJA,Av. Gaona y Donato Alvarez,0,,0,"GAONA AV. Y  ALVAREZ, DONATO, TTE. GRAL.",GAONA AV.,DONATO ALVAREZ,CABALLITO,6,,
-58.47112,-34.62742,41,DETECCION DE VIOLACION DE LUZ ROJA,Av. Nazca y Bogota,0,,0,AV. NAZCA Y BOGOTA,AV. NAZCA,BOGOTA,FLORES,7,,
-58.40781,-34.60425,42,DETECCION DE VIOLACION DE LUZ ROJA,Av. Corrientes y Ecuador,0,,0,CORRIENTES AV. Y ECUADOR,CORRIENTES AV.,ECUADOR,BALVANERA,3,,
-58.44438,-34.62172,43,CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA,Av. Rivadavia y García Lorca,0,,0,Av. Rivadavia y García Lorca,RIVADAVIA AV.,G LORCA,CABALLITO,6,,
