,Usuario,Tweet
158,NigroMarta,RT @TereGarciaOK: En serio intendente Larreta Ud cree que eso va a impedir que cuidemos a @CFKArgentina ?Cuando se colgaron bolsas mortuor…
159,gabyzeta68,RT @rayovirtual: A Macri y Larreta les está saliendo el tiro por la culata.Con este fusilamiento mediático-judicial de Cristina están log…
160,RosRizz,"RT @elunoeseluno: Larreta: -Yo no te quiero pegar, pero vos también mirá como me pones.#MarchasPorCristina https://t.co/xGjQHSXteJ"
161,hours_carlos,"@florenciarietto @larroqueandres Bueno se va la policía de la ciudad,todos a la casa de https://t.co/Rj3JAUdE96 dem… https://t.co/Mf4UC7vdgT"
162,ArielDo33789970,RT @ArielAnibal13: @PauloBaudouin @silviadelok Claramente Larreta está buscando que la militancia se enfrente a la policía para tener tapas…
163,titimaya15,RT @OkSergioPowerP1: @jramospadilla YA DEBE CAMBIARSE LA MARCHA A LA CASA DE CFKSecuestraron a Cristina. Larreta y Macri son la dictadura
164,MagdalenaM21,"RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea, como seguimos, Larreta esta provocand…"
165,claudiacarusso2,"RT @rcaballeroam: Larreta quiere enrejar la esperanza, no va a poder#Caballerodedia #TodosConCristina https://t.co/sEAE8AiyMw"
166,nory6119,"RT @Nelson_saurio: Hola Horacio Larreta, hay unos vecinos por la zona de recoleta creo, que no ven la hora de que lleguen las elecciones pa…"
167,patrono85713927,"RT @OmarTropa: Vallas , policías , guardia de infantería, filmación de manifestantes , solo faltan los infiltrados para completar el cotill…"
168,ArielDo33789970,RT @PauloBaudouin: No puedo creer que Larreta haya vallado la casa de Cristina... Que tipo infame... No podrá detener el olor a chori y a p…
169,Horaaciovillata,"RT @MnicaRi86854136: @PiruAdri @indignadoxd @elLoco_Baby Larreta no puede hacer nada, lo tratarían de represor,la única que tiene poder sob…"
170,alvarezcg,"RT @OmarTropa: Vallas , policías , guardia de infantería, filmación de manifestantes , solo faltan los infiltrados para completar el cotill…"
171,CasabuLaura,"RT @GustavoPeirano1: LARRETA ESTA ATENTANDO CONTRA CRISTINA, LA AISLO Y LA SITIO, TEMO POR SU SEGURIDADANDRES LARROQUE https://t.co/g6SFuO…"
172,maxiknop,"RT @DanielCatalano_: Horacio Rodríguez Larreta vamos a ir igual, ella nos va a escuchar aunque estemos a cinco cuadras. #SacaLasVallasLarre…"
173,fabianciol,"RT @OmarTropa: Vallas , policías , guardia de infantería, filmación de manifestantes , solo faltan los infiltrados para completar el cotill…"
174,FAVIO631,"#SacáLasVallasLarreta Que te pasa Larreta: ""Estás nervioso"" 🤬🤬🤬 #ALaCallePorCristina https://t.co/2OWRzap8aV"
175,VillaflorXarlos,@CarlosMaslaton Te duele la cola empleado de SOMBRILLA LARRETA???
176,AlterPuma,"RT @caidodelcatre2: Larreta es peor que Macri, es más hijo de puta y sabe leer de corrido...#SacáLasVallasLarreta"
177,Vientos_Verdes,"RT @jramospadilla: Larreta,deja de provocar,a CFK la cuida el Pueblo.Q parte no entendes? Se recupera la esperanza,la alegría de saber q un…"
178,Lauraxqsi,RT @andresmolla: LARRETA DIO MARCHA ATRASLa movilización popular le va a ganar a la derecha. https://t.co/v48w2BKr3i
179,patyvcp,"RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea, como seguimos, Larreta esta provocand…"
180,lulivala,"RT @CesarRuben33: @JuanGrabois @yoDaniel77 larretaNO PODRÁS ACALLARNUESTRAS VOCESCON VALLAS...NI NUESTRO AMOR A@CFKArgentina ,ESTAMOS…"
181,alegre_pajarita,"@TereGarciaOK @CFKArgentina Larreta cuida a las personas que viven ahí. Los cuida, de ustedes que son sucios, patoteros, sín educación. 🤮🤮🤮🤮"
