,Unnamed: 0,Usuario,Tweet
164,164,Maria49Rolon,RT @GuimonacoOk: En rojo el esquema de vallas que van a tener que proponer para impedir las manifestaciones de apoyo a Cristina#SacaLasV…
165,165,AdrianaZerdin,RT @ClaudioMorresi: Frente a la casa de Cristina con la alegría de estar acompañándola ayer hoy y siempre. https://t.co/vOiyIqapsk
166,166,FabianV16751827,RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea como seguimos Larreta esta provocand…
167,167,sebastian_865,RT @SergioChouza: Cuántos personajes fascistas tiene el macrismo…Son puro prejuicio y mensajes de odio. Son esto 👇https://t.co/OjtOsJuQ…
168,168,patotricia2022,RT @PatoBullrich: Con diputados nacionales presentamos en Tribunales una denuncia criminal contra el presidente Alberto Fernández la vicep…
169,169,Am3Torres,RT @gimenafuertes: Se fue la Infantería de la ciudad de la casa de Cristina.
170,170,mmderrache,Todos con Cristina pidiendo una justicia independiente!  https://t.co/ZgJWHDblWK
171,171,MaicaSZA,RT @LaEntrerriana10: Parece que la plata no sería de Macri sino de Cristóbal López. https://t.co/CRrgZ4DYKb
172,172,Chichiita1,"RT @LuisGasulla: Estación Lanús. 15 matones amenazando con hacer ""quilombo si la tocan a Cristina"" ante la indiferencia de los trabajadores…"
173,173,navegante2661,RT @ClaudiaPizarro: Tras 40 años calle Batallón Chacabuco será de hormigón armado. El testimonio de Cristina es claro: Fue una de las mile…
174,174,aimartnez,RT @tomascasascm: 5. Paloma la prima de Teresa ha denunciado a Cristina Seguí.
175,175,SilviaE55301037,RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea como seguimos Larreta esta provocand…
176,176,Ofe_mathov,RT @osvagoya: Un pedido a los soldaditos K: Guarden un poco de energía para cuando sea procesado Máximo Kirchner y Florencia …. y de nuevo…
177,177,MascotaKing,"RT @marcelopueIIaok: Como hizo cada fiesta patria en los 4 años de mandato de Macri el PRO encontró la ""solución"" para que el pueblo no se…"
