,Usuario,Tweet
152,AmparoBriceno4,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
153,maruype,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
154,MonickRed,"RT @dania0184: #SinLuz #Denuncia  @ReporteYa sin luz av fuerzas armadas desde ayer a las 10:30 pm, son las 7:16 am y @CorpoelecInfo brilla…"
155,MonickRed,"RT @ServPublicosVe: #SinLuz Esq. San Ramón Avenida Fuerzas Armadas,  Teñideros. #SinLuz desde anoche 10:30 pm vía @Herre818 hora: 6:31 am #…"
156,MonickRed,"RT @ServPublicosVe: #SinLuz #Denuncia #SinLuz Av Fuerzas Armadas desde ayer a las 10:30 pm, son las 7:16 am y @CorpoelecInfo brilla por su…"
157,MonickRed,"RT @RCR750: #SinLuz zonas de El Paraiso, Caracas."
158,gustavoadolfomi,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
159,Magui024,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
160,MonickRed,"RT @eldiario: #27Feb | Habitantes de Guatire, estado Miranda, denunciaron fallas eléctricas en varios sectores de la ciudad.¿Estás #SinLu…"
161,MonickRed,"RT @ServPublicosVe: Volvieron con fuerza los racionamientos, varios días así y aquí está pegando calor, refresca es en la noche, pero en el…"
162,urgedenunciar,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
163,Yasmina61968982,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
