,Usuario,Tweet
178,vivemoraavida,RT @FernandoHortaOf: Atentado contra Cristina Kirchner agora...Importante que aprendamos com isso. Os fascistas são da pazes de tudo. Abs…
179,Melidipangrazi1,RT @frabigol: La custodia que defendia a Cristina https://t.co/sHpeo5q81O
180,MatiasLesk,RT @PLMclips: El brasilero cuando la vio acercarse a Cristina https://t.co/jRLQKUP5bj
181,tddigital,(Un hombre apuntó con un arma contra la vicepresidenta Cristina Fernández) publicado por Telediario Digital -… https://t.co/8FWOfSFLRB
182,MarcioD57968098,"RT @elikatakimoto: A cena da tentativa de atentado contra a vice-presidenta da Argentina, Cristina Kirchner, é apavorante. Faltando um mês…"
183,frangalurcha,RT @Brighton_arg: @CAPArgento__ Los custodios de Cristinahttps://t.co/8ceiq6CMn9
184,YuliDisa,RT @lautarobj_: nisman desde el mas allá cuando vió que le apuntaron a cristina pero la bala no salió:https://t.co/QP4QUb7aHT
185,ciroloky,"RT @Editor_76: Escuchen lo que dijeron hace unas horas (21:15hs) Jonantan Viale y Débora Plager en LN+, sobre la posibilidad de un atentado…"
186,DevitaDobleD,Hace 6 horas este legislador pedía quitarle la custodia a Cristina. ¡Son la muerte en persona! https://t.co/vhsp9VzOfX
187,LuciCugno,"Jajajajajaja son un circo , con tal de que se hable de otra cosa que no sea DE LOS PATRIMONIOS DECLARADOS Y DE LA C… https://t.co/P3XjbwXaEs"
188,_LupeTB,"RT @jmkarg: Atención América Latina, atención mundo: esta noche le gatillaron a Cristina Fernández de Kirchner, dos veces presidenta de la…"
189,LIDIABRUSA,"RT @sipalkilucho: TRANQUILOSEn minutitos nomás, salen los d JxC llorando tragedia democrática y solidarizándose con Cristina. Son tan idio…"
190,ParmoPabloOscar,RT @gmilman: ¿Por qué el ministro de Seguridad aumentó la custodia policial para la vicepresidente? Cristina Kirchner jamás estuvo en pelig…
191,Matias86216132,RT @urisantxcruz: El conchesumare que mató a Kennedy viendo como el tipo le erró a Cristina estando a un metro: https://t.co/9OsPuhMPli
192,paulo_chao,"RT @lopezdoriga: Así el momento del atentado contra la vicepresidenta argentina, Cristina Fernández de Kirchner. Confirma el Gobierno un…"
193,efrenlimon,RT @fabriziomejia: Es golpismo que la derecha en Argentina atente contra la vida de Cristina Fernández de Kirchner.
194,rpetunchi,RT @Ambitocom: 🔴 INTENTARON ASESINAR A CRISTINA: EL MOMENTO DEL DISPARO FALLIDO📲 Mirá 👇 https://t.co/itme8QBg8j
195,AlexisLeyes01,RT @jerenewells31: ÚLTIMO MOMENTO - La palabra de la Vicepresidenta Cristina Kirchner luego del atentado.https://t.co/WzOFOOu2aq
196,rojasemii_,"RT @AntoBartolozzi: La semana pasada, un diputado nacional pidió pena de muerte para Cristina. Hace unos días, otro diputado abiertamente t…"
197,costilla,"RT @lopezdoriga: @clarincom El ministro de Seguridad de la Nación, Aníbal Fernández, confirmó la detención del presunto responsable y el as…"
